Date,Period,Allocation,Appreciation(%),Income(%),Net_TWR(%)
12/31/25,1-Year,Affordable Portfolio,3.5,5.1,7.1
12/31/25,1-Year,ODCE Apartment,0.8,4.2,5
12/31/25,2-Year,Affordable Portfolio,3.2,4.9,6.8
12/31/25,2-Year,ODCE Apartment,-0.8,4.1,3.3
12/31/25,3-Year,Affordable Portfolio,0.6,4.3,3.7
12/31/25,3-Year,ODCE Apartment,-4.6,4,-0.7
